player_id,name,age,nationality,team_id,team_name,position,appearances,rating,goals,assists,yellow_cards,red_cards
74,S. Amrabat,29,Morocco,33,Manchester United,Midfielder,,,,,,
526,A. Onana,29,Cameroon,33,Manchester United,Goalkeeper,0.0,,0.0,,0.0,0.0
739,Reguilón,29,Spain,33,Manchester United,Defender,,,,,,
742,R. Varane,31,France,33,Manchester United,Defender,,,,,,
889,V. Lindelöf,31,Sweden,33,Manchester United,Defender,16.0,6.671428,0.0,0.0,1.0,0.0
897,M. Greenwood,24,England,33,Manchester United,Attacker,,,,,,
908,A. Martial,30,France,33,Manchester United,Attacker,,,,,,
2931,T. Heaton,39,England,33,Manchester United,Goalkeeper,0.0,,0.0,,0.0,0.0
153434,W. Fish,22,England,33,Manchester United,Defender,,,,,,
180560,H. Mejbri,22,Tunisia,33,Manchester United,Midfielder,0.0,7.700000,0.0,1.0,0.0,0.0
284242,O. Forson,21,England,33,Manchester United,Attacker,,,,,,
284307,Ethan Ennis,21,England,33,Manchester United,Attacker,,,,,,
284324,A. Garnacho,21,Argentina,33,Manchester United,Attacker,36.0,6.797222,6.0,2.0,3.0,0.0
284363,R. Bennett,22,England,33,Manchester United,Defender,0.0,,0.0,,0.0,0.0
284391,S. Murray,21,England,33,Manchester United,Defender,,,,,,
303016,M. Oyedele,21,Poland,33,Manchester United,Midfielder,,,,,,
303017,Samuel Mather,21,England,33,Manchester United,Forward,,,,,,
330636,Sonny Aljofree,21,England,33,Manchester United,Defender,,,,,,
365664,Ethan Williams,20,England,33,Manchester United,Attacker,,,,,,
402329,A. Heaven,19,England,33,Manchester United,Defender,4.0,,0.0,,1.0,0.0
1972,L. Karius,32,Germany,34,Newcastle,Goalkeeper,,,,,,
18873,R. Fraser,31,Scotland,34,Newcastle,Midfielder,,,,,,
18886,M. Dúbravka,36,Slovakia,34,Newcastle,Goalkeeper,2.0,6.800000,0.0,0.0,0.0,0.0
18892,P. Dummett,34,Wales,34,Newcastle,Defender,,,,,,
18899,I. Hayden,30,England,34,Newcastle,Midfielder,,,,,,
18903,M. Ritchie,36,Scotland,34,Newcastle,Midfielder,,,,,,
68127,K. Watts,26,England,34,Newcastle,Defender,0.0,,0.0,,0.0,0.0
138908,E. Anderson,23,Scotland,34,Newcastle,Midfielder,,,,,,
284291,J. Turner-Cooke,22,England,34,Newcastle,Midfielder,,,,,,
284305,Jamie Miley,21,England,34,Newcastle,Midfielder,,,,,,
313671,Ciaran Thompson,21,England,34,Newcastle,Defender,,,,,,
322304,Cathal Heffernan,20,Republic of Ireland,34,Newcastle,Defender,,,,,,
340919,Ellis Stanton,20,England,34,Newcastle,Midfielder,,,,,,
344233,J. Emerson,20,Scotland,34,Newcastle,Attacker,,,,,,
352210,Dylan Charlton,19,Iceland,34,Newcastle,Defender,,,,,,
365988,Aidan Harris,19,England,34,Newcastle,Goalkeeper,,,,,,
382344,A. Munda,19,England,34,Newcastle,Midfielder,,,,,,
382345,Alfie Harrison,20,England,34,Newcastle,Midfielder,,,,,,
383685,Y. Minteh,21,Gambia,34,Newcastle,Attacker,,,,,,
402524,A. Harrison,19,England,34,Newcastle,Goalkeeper,,,,,,
1150,T. Adams,26,USA,35,Bournemouth,Midfielder,29.0,6.864285,,3.0,7.0,0.0
2273,Kepa,31,Spain,35,Bournemouth,Goalkeeper,31.0,7.145161,0.0,0.0,3.0,0.0
