team_id,team_name,country,founded,stadium_id
33,Manchester United,England,1878,556
34,Newcastle,England,1892,562
35,Bournemouth,England,1899,504
36,Fulham,England,1879,535
39,Wolves,England,1877,600
40,Liverpool,England,1892,550
41,Southampton,England,1885,585
42,Arsenal,England,1886,494
45,Everton,England,1878,22033
46,Leicester,England,1884,547
47,Tottenham,England,1882,593
48,West Ham,England,1895,598
49,Chelsea,England,1905,519
50,Manchester City,England,1880,555
51,Brighton,England,1901,508
52,Crystal Palace,England,1861,525
55,Brentford,England,1889,10503
57,Ipswich,England,1878,545
65,Nottingham Forest,England,1865,566
66,Aston Villa,England,1874,495
